freq_hz,gain_mag,gain_db
7.943282350000000406e+03,9.987568625463243421e-01,-1.080447184167183418e-02
8.128305159999999887e+03,9.986983887000213667e-01,-1.131301627642600227e-02
8.317637710000000880e+03,9.986371712715186311e-01,-1.184545342792294592e-02
8.511380380000000514e+03,9.985730811988483557e-01,-1.240291030820092101e-02
8.709635899999999310e+03,9.985059822144558561e-01,-1.298657710853549571e-02
8.912509379999999510e+03,9.984357371233911760e-01,-1.359765263762766074e-02
9.120108389999999417e+03,9.983621960720640010e-01,-1.423744642483548012e-02
9.332543009999999413e+03,9.982852078267586693e-01,-1.490728066915524702e-02
9.549925859999999375e+03,9.982046090706683250e-01,-1.560858342043528087e-02
9.772372209999999541e+03,9.981202336852158519e-01,-1.634280790229270669e-02
1.000000000000000000e+04,9.980319040991190160e-01,-1.711150786517772263e-02
1.023292989999999918e+04,9.979394375691867936e-01,-1.791628302202880399e-02
1.047128549999999996e+04,9.978426405643816555e-01,-1.875882801820214635e-02
1.071519310000000041e+04,9.977413111068688112e-01,-1.964091216711593910e-02
1.096478199999999924e+04,9.976352401136355796e-01,-2.056436788411138833e-02
1.122018449999999939e+04,9.975242058156297276e-01,-2.153113939852067255e-02
1.148153620000000046e+04,9.974079781163242009e-01,-2.254324495110792900e-02
1.174897550000000047e+04,9.972863170272414646e-01,-2.360279056358862565e-02
1.202264429999999993e+04,9.971589690847012522e-01,-2.471200141408881265e-02
1.230268770000000040e+04,9.970256727723761925e-01,-2.587317479336289847e-02
1.258925410000000011e+04,9.968861510049189523e-01,-2.708874577475513593e-02
1.288249550000000090e+04,9.967401165782199257e-01,-2.836123995940714043e-02
1.318256739999999991e+04,9.965872686714616346e-01,-2.969330418722842049e-02
1.348962880000000041e+04,9.964272923102764912e-01,-3.108771148172725582e-02
1.380384259999999995e+04,9.962598589436271190e-01,-3.254735631052387002e-02
1.412537540000000081e+04,9.960846259194701124e-01,-3.407525946608833123e-02
1.445439769999999953e+04,9.959012331018560760e-01,-3.567459790666591135e-02
1.479108389999999963e+04,9.957093053734497046e-01,-3.734868331681750336e-02
1.513561249999999927e+04,9.955084522273789371e-01,-3.910096606890355736e-02
1.548816619999999966e+04,9.952982624338693185e-01,-4.093508220163584455e-02
1.584893189999999959e+04,9.950783095676269951e-01,-4.285480569156090158e-02
1.621810100000000057e+04,9.948481466877039381e-01,-4.486409540819497055e-02
1.659586909999999989e+04,9.946073079389528004e-01,-4.696708172797010861e-02
1.698243649999999980e+04,9.943553063169905393e-01,-4.916808668703911978e-02
1.737800830000000133e+04,9.940916332092124552e-01,-5.147162869521075546e-02
1.778279409999999916e+04,9.938157580600727181e-01,-5.388242622553776617e-02
1.819700860000000102e+04,9.935271272883264837e-01,-5.640540810817821354e-02
1.862087139999999999e+04,9.932251639009334054e-01,-5.904571781307724893e-02
1.905460719999999856e+04,9.929092637771438357e-01,-6.180874693818337595e-02
1.949844599999999991e+04,9.925787982150693356e-01,-6.470011403609048084e-02
1.995262310000000070e+04,9.922331130090873419e-01,-6.772567385065159096e-02
2.041737940000000162e+04,9.918715212712337914e-01,-7.089158144397009198e-02
2.089296129999999903e+04,9.914933124144530430e-01,-7.420421497882004336e-02
2.137962090000000171e+04,9.910977429356643276e-01,-7.767025793635937148e-02
2.187761620000000039e+04,9.906840374449468190e-01,-8.129669180794522887e-02
2.238721140000000014e+04,9.902513891574766802e-01,-8.509079361091162474e-02
2.290867650000000140e+04,9.897989583743722619e-01,-8.906015118224561156e-02
2.344228819999999905e+04,9.893258691046871167e-01,-9.321269498003995069e-02
2.398832920000000013e+04,9.888312094913906947e-01,-9.755669672342545673e-02
2.454708919999999853e+04,9.883140318239297395e-01,-1.021007718388224211e-01
2.511886430000000109e+04,9.877733501560423957e-01,-1.068539031594454569e-01
2.570395780000000013e+04,9.872081361343505446e-01,-1.118254806475512120e-01
2.630267989999999918e+04,9.866173227567590631e-01,-1.170252716671627002e-01
2.691534800000000178e+04,9.859998018347554405e-01,-1.224634468569292395e-01
2.754228700000000026e+04,9.853544187142408983e-01,-1.281506305207240903e-01
2.818382930000000124e+04,9.846799753607192729e-01,-1.340978777183369774e-01
2.884031499999999869e+04,9.839752293369786740e-01,-1.403166878298861275e-01
2.951209230000000025e+04,9.832388890482641752e-01,-1.468190514747528819e-01
3.019951719999999841e+04,9.824696155901987416e-01,-1.536174396219212313e-01
3.090295430000000124e+04,9.816660186163714830e-01,-1.607248459497211956e-01
3.162277660000000105e+04,9.808266596237804613e-01,-1.681547641366776258e-01
3.235936569999999847e+04,9.799500462834215275e-01,-1.759212448521713379e-01
3.311311209999999846e+04,9.790346336345319145e-01,-1.840388926334849129e-01
3.388441560000000027e+04,9.780788234512457491e-01,-1.925228794937799692e-01
3.467368499999999767e+04,9.770809616601953129e-01,-2.013889764845890051e-01
3.548133890000000247e+04,9.760393386770643831e-01,-2.106535600662015062e-01
3.630780550000000221e+04,9.749521886167347162e-01,-2.203336291892991072e-01
3.715352290000000357e+04,9.738176867266105097e-01,-2.304468390143391554e-01
3.801893959999999788e+04,9.726339524207316956e-01,-2.410114855767568898e-01
3.890451449999999750e+04,9.713990445540444663e-01,-2.520465604984895580e-01
3.981071710000000166e+04,9.701109663401141781e-01,-2.635717205956457643e-01
4.073802780000000348e+04,9.687676596992597089e-01,-2.756073528861109345e-01
4.168693830000000162e+04,9.673670079748211137e-01,-2.881745659269088766e-01
4.265795190000000002e+04,9.659068374147240510e-01,-3.012951931775873504e-01
4.365158320000000094e+04,9.643849171274067045e-01,-3.149918111750069083e-01
4.466835919999999896e+04,9.627989552277037566e-01,-3.292877933470756968e-01
4.570881900000000314e+04,9.611466067729230733e-01,-3.442072589847736674e-01
4.677351410000000033e+04,9.594254715798828936e-01,-3.597751145309790455e-01
4.786300920000000042e+04,9.576330957360253970e-01,-3.760170630780814705e-01
4.897788190000000031e+04,9.557669717798060738e-01,-3.929596274159256053e-01
5.011872340000000258e+04,9.538245467269218514e-01,-4.106301033213861085e-01
5.128613840000000346e+04,9.518032175444661735e-01,-4.290566282857798397e-01
5.248074599999999919e+04,9.497003390261252731e-01,-4.482681392143503252e-01
5.370317960000000312e+04,9.475132256570025779e-01,-4.682943862528177736e-01
5.495408739999999671e+04,9.452391549668314186e-01,-4.891659347453065076e-01
5.623413249999999971e+04,9.428753730780801146e-01,-5.109141486758823625e-01
5.754399369999999908e+04,9.404190974924067081e-01,-5.335712010790213400e-01
5.888436549999999988e+04,9.378675259871704917e-01,-5.571700297712114391e-01
6.025595859999999811e+04,9.352178370730711565e-01,-5.817443724988742293e-01
6.165950020000000222e+04,9.324672032139424971e-01,-6.073286855853223809e-01
6.309573440000000119e+04,9.296127901701982665e-01,-6.339581925747372892e-01
6.456542289999999775e+04,9.266517710797969043e-01,-6.616687973952327662e-01
6.606934480000000622e+04,9.235813299077808569e-01,-6.904970976000667227e-01
6.760829750000000058e+04,9.203986728390001204e-01,-7.204803246031818986e-01
6.918309709999999905e+04,9.171010356547910636e-01,-7.516563223638546010e-01
7.079457839999999851e+04,9.136856945084843584e-01,-7.840634948621750810e-01
7.244359600000000501e+04,9.101499764620792909e-01,-8.177407561463533314e-01
7.413102409999999509e+04,9.064912685656376645e-01,-8.527274945139663442e-01
7.585775750000000698e+04,9.027070294418786389e-01,-8.890635129202979492e-01
7.762471169999999984e+04,8.987948039819786406e-01,-9.267889388649686033e-01
7.943282349999999860e+04,8.947522326488804856e-01,-9.659441850876537838e-01
8.128305160000000615e+04,8.905770641640319285e-01,-1.006569876780934125e+00
8.317637709999999788e+04,8.862671680902786120e-01,-1.048706778131700101e+00
8.511380379999999423e+04,8.818205511304766375e-01,-1.092395680197119079e+00
8.709635899999999674e+04,8.772353657328382237e-01,-1.137677361299001211e+00
8.912509380000000237e+04,8.725099288530792085e-01,-1.184592444474353412e+00
9.120108389999999781e+04,8.676427305846650118e-01,-1.233181350765290230e+00
9.332543009999999776e+04,8.626324494159475220e-01,-1.283484182850152200e+00
9.549925860000000102e+04,8.574779684828034432e-01,-1.335540592800390503e+00
9.772372209999999905e+04,8.521783820935973086e-01,-1.389389741987146820e+00
1.000000000000000000e+05,8.467330154937392495e-01,-1.445070121037797195e+00
1.023292989999999991e+05,8.411414341929578375e-01,-1.502619467509752615e+00
1.047128549999999959e+05,8.354034514839643322e-01,-1.562074695438935512e+00
1.071519309999999969e+05,8.295191475621109811e-01,-1.623471696479168669e+00
1.096478200000000070e+05,8.234888721693801594e-01,-1.686845301787055273e+00
1.122018450000000012e+05,8.173132583913881311e-01,-1.752229118662651297e+00
1.148153619999999937e+05,8.109932276365930948e-01,-1.819655448756844152e+00
1.174897550000000047e+05,8.045299986134355485e-01,-1.889155153377737539e+00
1.202264429999999993e+05,7.979250921345832914e-01,-1.960757551421049794e+00
1.230268769999999931e+05,7.911803357943505421e-01,-2.034490306936754145e+00
1.258925409999999974e+05,7.842978646237475093e-01,-2.110379348488375939e+00
1.288249550000000017e+05,7.772801230174110065e-01,-2.188448762813736792e+00
1.318256739999999991e+05,7.701298694209577356e-01,-2.268720644159835320e+00
1.348962880000000005e+05,7.628501652359961360e-01,-2.351215107255349324e+00
1.380384260000000068e+05,7.554443787364905072e-01,-2.435950120796048335e+00
1.412537539999999863e+05,7.479161725036567177e-01,-2.522941514882568015e+00
1.445439770000000135e+05,7.402695040949187621e-01,-2.612202826109728537e+00
1.479108390000000072e+05,7.325086116097075939e-01,-2.703745304730518217e+00
1.513561250000000000e+05,7.246380050589206201e-01,-2.797577845595264900e+00
1.548816620000000112e+05,7.166624520676120325e-01,-2.893706976522861574e+00
1.584893189999999886e+05,7.085869686255901190e-01,-2.992136777737836706e+00
1.621810100000000093e+05,7.004167985703987354e-01,-3.092868929700425706e+00
1.659586909999999916e+05,6.921574024718037954e-01,-3.195902641164218405e+00
1.698243649999999907e+05,6.838144357683509922e-01,-3.301234704062507408e+00
1.737800830000000133e+05,6.753937317097629123e-01,-3.408859486878404788e+00
1.778279409999999916e+05,6.669012821802982049e-01,-3.518768952172957487e+00
1.819700860000000102e+05,6.583432164692465394e-01,-3.630952700434603830e+00
1.862087140000000072e+05,6.497257807219057879e-01,-3.745398007062132884e+00
1.905460719999999856e+05,6.410553154173194157e-01,-3.862089888749411060e+00
1.949844599999999919e+05,6.323382347197104014e-01,-3.981011150205424176e+00
1.995262309999999998e+05,6.235810052765097256e-01,-4.102142444046076086e+00
