TIME,V(IN),V(OUT),V(VSS),V(VDD),V(A)
1.01555420e-06,1.59757445e+00,2.61332489e+00,0.00000000e+00,3.30000000e+00,1.51806582e+00
1.01559720e-06,1.59784330e+00,2.70132453e+00,0.00000000e+00,3.30000000e+00,1.51077284e+00
1.01563265e-06,1.59806495e+00,2.74514949e+00,0.00000000e+00,3.30000000e+00,1.50302116e+00
1.01566809e-06,1.59828661e+00,2.77756252e+00,0.00000000e+00,3.30000000e+00,1.49439500e+00
1.01570354e-06,1.59850825e+00,2.80440025e+00,0.00000000e+00,3.30000000e+00,1.48534925e+00
1.01577444e-06,1.59895153e+00,2.84956835e+00,0.00000000e+00,3.30000000e+00,1.46667400e+00
1.01584534e-06,1.59939479e+00,2.88774138e+00,0.00000000e+00,3.30000000e+00,1.44741455e+00
1.01598713e-06,1.60028125e+00,2.95172720e+00,0.00000000e+00,3.30000000e+00,1.40745128e+00
1.01627071e-06,1.60205393e+00,3.04986933e+00,0.00000000e+00,3.30000000e+00,1.32208878e+00
1.01655430e-06,1.60382628e+00,3.12378925e+00,0.00000000e+00,3.30000000e+00,1.23061780e+00
1.01683788e-06,1.60559830e+00,3.18121898e+00,0.00000000e+00,3.30000000e+00,1.13474054e+00
1.01712147e-06,1.60736999e+00,3.22527929e+00,0.00000000e+00,3.30000000e+00,1.03629017e+00
1.01740506e-06,1.60914134e+00,3.25756281e+00,0.00000000e+00,3.30000000e+00,9.37694607e-01
1.01768864e-06,1.61091234e+00,3.27878129e+00,0.00000000e+00,3.30000000e+00,8.42477316e-01
1.01797223e-06,1.61268299e+00,3.29040106e+00,0.00000000e+00,3.30000000e+00,7.56615543e-01
1.01825581e-06,1.61445329e+00,3.29556660e+00,0.00000000e+00,3.30000000e+00,6.88672679e-01
1.01853940e-06,1.61622321e+00,3.29778281e+00,0.00000000e+00,3.30000000e+00,6.43739043e-01
1.01882298e-06,1.61799277e+00,3.29875231e+00,0.00000000e+00,3.30000000e+00,6.17466432e-01
1.01910657e-06,1.61976196e+00,3.29916329e+00,0.00000000e+00,3.30000000e+00,6.01397932e-01
1.01967374e-06,1.62329918e+00,3.29946089e+00,0.00000000e+00,3.30000000e+00,5.79528008e-01
1.02024091e-06,1.62683484e+00,3.29955763e+00,0.00000000e+00,3.30000000e+00,5.62415656e-01
1.02137525e-06,1.63390128e+00,3.29968453e+00,0.00000000e+00,3.30000000e+00,5.32647470e-01
1.02250959e-06,1.64096091e+00,3.29974694e+00,0.00000000e+00,3.30000000e+00,5.07444305e-01
1.02477828e-06,1.65505835e+00,3.29981838e+00,0.00000000e+00,3.30000000e+00,4.65334924e-01
1.02931565e-06,1.68315583e+00,3.29987511e+00,0.00000000e+00,3.30000000e+00,4.00970833e-01
1.03385301e-06,1.71110447e+00,3.29990159e+00,0.00000000e+00,3.30000000e+00,3.51661411e-01
1.03839038e-06,1.73888154e+00,3.29992047e+00,0.00000000e+00,3.30000000e+00,3.11541728e-01
1.04746512e-06,1.79383083e+00,3.29994256e+00,0.00000000e+00,3.30000000e+00,2.48748291e-01
1.06561459e-06,1.90068889e+00,3.29996601e+00,0.00000000e+00,3.30000000e+00,1.63211599e-01
1.08376406e-06,2.00234190e+00,3.29997564e+00,0.00000000e+00,3.30000000e+00,1.07467308e-01
